dates,#calls,weekday,day,month
2018-11-22,15384,3,22,11
2018-11-23,17156,4,23,11
2018-11-24,17055,5,24,11
2018-11-25,17076,6,25,11
2018-11-26,17091,0,26,11
2018-11-27,18263,1,27,11
2018-11-28,18084,2,28,11
2018-11-29,18350,3,29,11
2018-11-30,17842,4,30,11
2018-12-01,17787,5,1,12
2018-12-02,16448,6,2,12
2018-12-03,18046,0,3,12
2018-12-04,18633,1,4,12
2018-12-05,18714,2,5,12
2018-12-06,18295,3,6,12
2018-12-07,18806,4,7,12
2018-12-08,18098,5,8,12
2018-12-09,16805,6,9,12
2018-12-10,17348,0,10,12
2018-12-11,17939,1,11,12
2018-12-12,17731,2,12,12
2018-12-13,17821,3,13,12
2018-12-14,18029,4,14,12
2018-12-15,17783,5,15,12
2018-12-16,16429,6,16,12
2018-12-17,17257,0,17,12
2018-12-18,18213,1,18,12
2018-12-19,17851,2,19,12
2018-12-20,17831,3,20,12
2018-12-21,18917,4,21,12
2018-12-22,17956,5,22,12
2018-12-23,16722,6,23,12
2018-12-24,15979,0,24,12
2018-12-25,14285,1,25,12
2018-12-26,17347,2,26,12
2018-12-27,17378,3,27,12
2018-12-28,17098,4,28,12
2018-12-29,18207,5,29,12
2018-12-30,16745,6,30,12
2018-12-31,16112,0,31,12
2019-01-01,17706,1,1,1
2019-01-02,18501,2,2,1
2019-01-03,18145,3,3,1
2019-01-04,18644,4,4,1
2019-01-05,17299,5,5,1
2019-01-06,16836,6,6,1
2019-01-07,16922,0,7,1
2019-01-08,17719,1,8,1
2019-01-09,18825,2,9,1
2019-01-10,18515,3,10,1
2019-01-11,18795,4,11,1
2019-01-12,18099,5,12,1
2019-01-13,17070,6,13,1
2019-01-14,17468,0,14,1
2019-01-15,18786,1,15,1
2019-01-16,18585,2,16,1
2019-01-17,18254,3,17,1
2019-01-18,18160,4,18,1
2019-01-19,18032,5,19,1
2019-01-20,17368,6,20,1
2019-01-21,17724,0,21,1
2019-01-22,18391,1,22,1
2019-01-23,18306,2,23,1
2019-01-24,18494,3,24,1
2019-01-25,18490,4,25,1
2019-01-26,18126,5,26,1
2019-01-27,17362,6,27,1
2019-01-28,17206,0,28,1
2019-01-29,17905,1,29,1
2019-01-30,19153,2,30,1
2019-01-31,18206,3,31,1
2019-02-01,18859,4,1,2
2019-02-02,18385,5,2,2
2019-02-03,17417,6,3,2
2019-02-04,18104,0,4,2
2019-02-05,18645,1,5,2
2019-02-06,18845,2,6,2
2019-02-07,18688,3,7,2
2019-02-08,19483,4,8,2
2019-02-09,18598,5,9,2
2019-02-10,17066,6,10,2
2019-02-11,17738,0,11,2
2019-02-12,17632,1,12,2
2019-02-13,18344,2,13,2
2019-02-14,18758,3,14,2
2019-02-15,18896,4,15,2
2019-02-16,17726,5,16,2
2019-02-17,16768,6,17,2
2019-02-18,16322,0,18,2
2019-02-19,17287,1,19,2
